code,locality,province,locality_url,event_count
pilgrims-rest,Pilgrim's Rest,Mpumalanga,/events/south-africa/mpumalanga/pilgrims-rest,1
pietermaritzburg-thornville,Pietermaritzburg /Thornville,Kwazulu Natal,/events/south-africa/kwazulu-natal/pietermaritzburg-thornville,1
pietermaritsburg,PIETERMARITSBURG,Kwazulu Natal,/events/south-africa/kwazulu-natal/pietermaritsburg,1
phokeng,Phokeng,North West,/events/south-africa/north-west/phokeng,1
pennington,Pennington,Kwazulu Natal,/events/south-africa/kwazulu-natal/pennington,1
noordhoek,Noordhoek,Western Cape,/events/south-africa/western-cape/noordhoek,1
brenton-on-sea,Brenton-on-Sea,Western Cape,/events/south-africa/western-cape/brenton-on-sea,1
nomgwadla,Nomgwadla,Eastern Cape,/events/south-africa/eastern-cape/nomgwadla,1
nkowankowa,Nkowankowa,Limpopo,/events/south-africa/limpopo/nkowankowa,1
nieu-bethesda,Nieu-Bethesda,Eastern Cape,/events/south-africa/eastern-cape/nieu-bethesda,1
nhlazatshe,Nhlazatshe,Mpumalanga,/events/south-africa/mpumalanga/nhlazatshe,1
newcastle,Newcastle,Kwazulu Natal,/events/south-africa/kwazulu-natal/newcastle,1
new-hanover,New Hanover,Kwazulu Natal,/events/south-africa/kwazulu-natal/new-hanover,1
natures-valley,Natures Valley,Western Cape,/events/south-africa/western-cape/natures-valley,1
napier,Napier,Western Cape,/events/south-africa/western-cape/napier,1
naboomspruit,NABOOMSPRUIT,Limpopo,/events/south-africa/limpopo/naboomspruit,1
mzinti,Mzinti,Mpumalanga,/events/south-africa/mpumalanga/mzinti,1
musina,Musina,Limpopo,/events/south-africa/limpopo/musina,1
muldersdrift-johannesburg,"Muldersdrift, Johannesburg",Gauteng,/events/south-africa/gauteng/muldersdrift-johannesburg,1
mtunzini,Mtunzini,Kwazulu Natal,/events/south-africa/kwazulu-natal/mtunzini,1
mthatha,Mthatha,Eastern Cape,/events/south-africa/eastern-cape/mthatha,1
brackenfell,Brackenfell,Western Cape,/events/south-africa/western-cape/brackenfell,1
morokweng,Morokweng,North West,/events/south-africa/north-west/morokweng,1
morningside,Morningside,Kwazulu Natal,/events/south-africa/kwazulu-natal/morningside,1
morgenzon,Morgenzon,Mpumalanga,/events/south-africa/mpumalanga/morgenzon,1
mooi-river,Mooi River,Kwazulu Natal,/events/south-africa/kwazulu-natal/mooi-river,1
mokopane,Mokopane,Limpopo,/events/south-africa/limpopo/mokopane,1
mmotong,Mmotong,Limpopo,/events/south-africa/limpopo/mmotong,1
mmabatho,Mmabatho,North West,/events/south-africa/north-west/mmabatho,1
mkhazane,Mkhazane,Kwazulu Natal,/events/south-africa/kwazulu-natal/mkhazane,1
milnerton,Milnerton,Western Cape,/events/south-africa/western-cape/milnerton,1
meyerton,Meyerton,Gauteng,/events/south-africa/gauteng/meyerton,1
mehlamasha,Mehlamasha,Kwazulu Natal,/events/south-africa/kwazulu-natal/mehlamasha,1
mbabane-eswatini,"Mbabane, Eswatini",Kwazulu Natal,/events/south-africa/kwazulu-natal/mbabane-eswatini,1
